date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:36	4868/4868	---M--	200	added ('OK')	image/png	etag:%2289253d2a37fc97cf93a42e11aefabcd8%22	https://file.hstatic.net/1000001117/file/logo-gearvn.png	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/logo-gearvn.png	(from https://www.haravan.com/)
13:38:36	2317/2317	---M--	200	added ('OK')	image/png	etag:%223b2ea7feb41624fb96bd3fb6d20a6524%22	https://file.hstatic.net/1000001117/file/logo-l_oreal.png	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/logo-l_oreal.png	(from https://www.haravan.com/)
13:38:36	7248/7248	---M--	200	added ('OK')	image/png	etag:%2212890d0b2c6442d656306705d9fdca4b%22	https://file.hstatic.net/1000001117/file/logo-thienlong.png	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/logo-thienlong.png	(from https://www.haravan.com/)
13:38:36	1417/1417	---M--	200	added ('OK')	image/png	etag:%2234f9b1f402d3c2048ac38910bdeffb53%22	https://file.hstatic.net/1000001117/file/logo-abbott.png	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/logo-abbott.png	(from https://www.haravan.com/)
13:38:37	3257/3257	---M--	200	added ('OK')	image/png	etag:%22bdfaab112376eecb65628b9631cdaf25%22	https://file.hstatic.net/1000001117/file/logo-thecoffeehouse.png	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/logo-thecoffeehouse.png	(from https://www.haravan.com/)
13:38:37	68494/68494	---M--	200	added ('OK')	image/jpeg	etag:%229e899f91df0b048701d47cc9d279f0eb%22	https://file.hstatic.net/1000001117/file/1_trang_thanh_toan_thong_minh.jpg	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/1_trang_thanh_toan_thong_minh.jpg	(from https://www.haravan.com/)
13:38:37	37899/37899	---M--	200	added ('OK')	image/jpeg	etag:%22dd651a3f6405a47af37f18089ac3bd44%22	https://file.hstatic.net/1000001117/file/3_do_luong_chuyen_doi_quang_cao.jpg	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/3_do_luong_chuyen_doi_quang_cao.jpg	(from https://www.haravan.com/)
13:38:37	62334/62334	---M--	200	added ('OK')	image/jpeg	etag:%2215eb6a10ed2e67d0fc23b1dca7040134%22	https://file.hstatic.net/1000001117/file/4_blog_chuan_seo.jpg	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/4_blog_chuan_seo.jpg	(from https://www.haravan.com/)
13:38:38	165501/165501	---M--	200	added ('OK')	image/png	etag:%2271f78c7a6d32aa4ba52d363945e6e419%22	https://file.hstatic.net/1000001117/file/5_chot_don_tren_messenger.png	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/5_chot_don_tren_messenger.png	(from https://www.haravan.com/)
13:38:38	64063/64063	---M--	200	added ('OK')	image/jpeg	etag:%22f6496771c3e330ef04c83b16f24e33c8%22	https://file.hstatic.net/1000001117/file/9_cap_nhat_ton_kho.jpg	D:/freelance/phuong-nam-media/haravan/file.hstatic.net/1000001117/file/9_cap_nhat_ton_kho.jpg	(from https://www.haravan.com/)
